<Start Ep>
Squidward: Hey, SpongeBob!
SpongeBob: I came to save you. [SpongeBob runs off]
Squidward: [in an emergency room] Squidward! What happened?
SpongeBob: Squidward, Squidward, Squidward! How could you do this to me?
Squidward: What?
SpongeBob: Really?
Squidward: Can I have some of your stuff?
SpongeBob: Sure! I just wanted to...
Squidward: What?
SpongeBob: That's all right, Squidward. I'm gonna have all the stuff you need.
SpongeBob: Well, I've got a confession to make, Squidward. I'm gonna tell you.
Squidward: What?
SpongeBob: Really?
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Yeah!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!
Squidward: Really?!
SpongeBob: Really?!

 
