<Start Ep> 
Patrick: Hey, SpongeBob!
SpongeBob: Hey, Patrick!
Patrick: SpongeBob, SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
Patrick: SpongeBob!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
Patrick: SpongeBob!
SpongeBob: Patrick!
Patrick: SpongeBob!
Patrick: SpongeBob!
SpongeBob: Patrick
