<Start Ep> 
SpongeBob: [blowing stuff in the hole] Hey, Patrick, come out here! [Patrick pulls him out, SpongeBob goes mad, and the sound of a truck coming through the hole]
Patrick: [screams]
SpongeBob: [screams]
SpongeBob and Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob and Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]
Patrick: [screaming]
SpongeBob: [screaming]

 
