<Start Ep>
SpongeBob: [screaming] I can't believe it's still fresh in my mind. [Squidward's house is shown and SpongeBob is still crying] I can't believe it's still fresh in my mind! [laughs]
Squidward: [screaming]
SpongeBob: It's fresh in my mind! [cries more]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
Squidward: [screaming]
SpongeBob: [screaming]
