<Start Ep>
SpongeBob: [enters the kitchen] Hello, customers!
Squidward: What the...?
SpongeBob: It's Squidward's mother.
Squidward: Mother?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward?
Squidward: Squidward?
SpongeBob: Squidward? [opens door]
Squidward: [pulls open the door with his hands behind him] Did somebody say my name?
SpongeBob: Uhh, Squidward?
Squidward: [his eyes are closed] The name's SpongeBob.
Sp
